epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_balanced_acc,val_macro_f1,lr
1,1.0074537745629568,0.7001154670918788,0.4580973654805248,0.8664165818802664,0.8339563862928349,0.6892146188860625,0.7057845294660845,4.9692208514878444e-05
2,0.8667724403834509,0.7730246879639303,0.611725682289699,1.6120494023661747,0.8626168224299066,0.7361993182253564,0.7528732727179329,4.877641290737884e-05
3,0.8365731513302919,0.7909495793698795,0.6500946964934687,2.379681499761956,0.8682242990654205,0.747680509388424,0.7615441292661634,4.72751631047092e-05
4,0.8162432161422051,0.7963930279870237,0.6572406713225682,0.6732057089003447,0.8716510903426792,0.7748806174807321,0.7717782068865716,4.522542485937369e-05
5,0.7967164426650367,0.8085445647990323,0.6778494673754952,0.6589966179054474,0.8738317757009346,0.7676505257446282,0.7731807979834064,4.267766952966369e-05
6,0.7925707525317374,0.808379611810634,0.6779655855447853,0.6650099647379367,0.8713395638629283,0.7644605135551636,0.7678389209886793,3.969463130731183e-05
7,0.7810881477050668,0.8164623082421509,0.6918257125891245,0.6545868684940992,0.8738317757009346,0.7689880161472293,0.7726213243333231,3.634976249348867e-05
8,0.7737263643984785,0.8181668224556001,0.6979993384355654,0.6517650138923312,0.8760124610591901,0.7610619853577139,0.7737205953869921,3.272542485937369e-05
9,0.7556629556620331,0.8247099576620663,0.7075499552365561,0.6640066286670827,0.8750778816199377,0.7766670216743767,0.7778119641396597,2.891086162600578e-05
10,0.7546254122225114,0.8305382965854732,0.7165025572451824,0.6569791982478442,0.8728971962616823,0.7670007575896702,0.7690864504673373,2.5000000000000005e-05
11,0.7424599683526626,0.8373563534392698,0.7293723335073519,0.6516519210420294,0.8738317757009346,0.7708191912632394,0.7749971541602537,2.108913837399424e-05
12,0.7407996979096412,0.8355968548963545,0.7270344011746266,0.6541304421944781,0.8750778816199377,0.7681106690063798,0.774036406749206,1.727457514062632e-05
13,0.7313602634657929,0.8349920272722274,0.7263359162054261,0.6574992365554857,0.8741433021806854,0.7777529398838989,0.7759975214146123,1.3650237506511335e-05
14,0.7278258624252245,0.8382910870401935,0.7353612037322985,0.6566554336347312,0.8738317757009346,0.7590549375675576,0.7674684883015687,1.0305368692688178e-05
15,0.7296630204159791,0.8419750371144223,0.740088491031192,0.6564113360513408,0.8728971962616823,0.7607530327067037,0.7677788168310699,7.322330470336315e-06
16,0.7236026588618647,0.8468686424369055,0.7510000597082749,0.6597325807976946,0.8738317757009346,0.760920584023231,0.7679999668098473,4.774575140626317e-06
17,0.7153147523200105,0.8441744102930665,0.7469388400511774,0.6559455215745255,0.874766355140187,0.7640456109616321,0.7725119768435651,2.7248368952908057e-06
18,0.7236240286165593,0.8442843789519987,0.7444282440424115,0.6548259636880452,0.8753894080996885,0.7630758745420877,0.771657787041673,1.2235870926211619e-06
19,0.7135420013248819,0.851487326112058,0.7582391355249991,0.6541755303972606,0.8760124610591901,0.7725871524235739,0.7761900999649523,3.0779148512155856e-07
20,0.7170847764395105,0.8480233133556936,0.748856162667488,0.6543907717752309,0.8775700934579439,0.7696003512799395,0.7767368710518131,0.0
